Genre,Language,Premiere,Runtime,Title
War drama,English,"October 16, 2015",2 h 17 min,Beasts of No Nation
Western comedy,English,"December 11, 2015",2 h,The Ridiculous 6
Adventure comedy,English,"March 18, 2016",1 h 30 min,Pee-wee's Big Holiday
Satire,English,"April 29, 2016",1 h 41 min,Special Correspondents
Action comedy,English,"May 27, 2016",1 h 48 min,The Do-Over
Comedy drama,English,"June 24, 2016",1 h 37 min,The Fundamentals of Caring
Sex comedy,English,"July 7, 2016",1 h 35 min,Brahman Naman
Thriller,English,"July 15, 2016",1 h 40 min,Rebirth
Comedy drama,English,"July 29, 2016",1 h 51 min,Tallulah
Drama,English,"August 26, 2016",1 h 32 min,XOXO
Science fiction / Thriller,English,"September 16, 2016",1 h 28 min,ARQ
War,English,"October 7, 2016",1 h 48 min,The Siege of Jadotville
Mockumentary,English,"October 13, 2016",1 h 35 min,Mascots
Horror,English,"October 28, 2016",1 h 29 min,I Am the Pretty Thing That Lives in the House
Drama,Spanish,"October 28, 2016",1 h 17 min,7 años
Action comedy,English,"November 11, 2016",1 h 38 min,True Memoirs of an International Assassin
Thriller,English,"November 22, 2016",1 h 27 min,Mercy
Science fiction / Action,English,"December 9, 2016",1 h 48 min,Spectral
Biopic,English,"December 16, 2016",1 h 44 min,Barry
Heist,English,"January 6, 2017",1 h 37 min,Coin Heist
Horror thriller,English,"January 13, 2017",1 h 44 min,Clinical
Comedy,English,"January 20, 2017",1 h 20 min,Take the 10
Science fiction / Thriller,English,"January 27, 2017",1 h 30 min,iBOY
Drama,English,"February 3, 2017",1 h 26 min,Imperial Dreams
Comedy drama,English,"February 14, 2017",1 h 10 min,Girlfriend's Day
Thriller drama,English,"February 24, 2017",1 h 36 min,I Don't Feel at Home in This World Anymore
Drama,English,"March 10, 2017",1 h 42 min,Burning Sands
Comedy crime,English,"March 17, 2017",1 h 32 min,Deidra & Laney Rob a Train
Biopic,English,"March 24, 2017",1 h 32 min,The Most Hated Woman in America
Science fiction / Drama,English,"March 31, 2017",1 h 42 min,The Discovery
Comedy,English,"April 7, 2017",1 h 28 min,Win It All
Comedy,English,"April 14, 2017",2 h 11 min,Sandy Wexler
War,English,"April 21, 2017",1 h 53 min,Sand Castle
Romantic comedy,English,"April 21, 2017",1 h 23 min,Tramps
Dark comedy,English,"April 28, 2017",1 h 35 min,Small Crimes
Comedy mystery,English,"May 5, 2017",1 h 21 min,Handsome: A Netflix Mystery Movie
Anime / Science fiction,Japanese,"May 20, 2017",1 h 46 min,BLAME!
War-Comedy,English,"May 26, 2017",2 h 2 min,War Machine
Crime thriller,English,"June 9, 2017",1 h 26 min,Shimmer Lake
Action-adventure,English,"June 28, 2017",2 h 1 min,Okja
Drama,English,"July 14, 2017",1 h 47 min,To the Bone
Romantic comedy,English,"July 28, 2017",1 h 23 min,The Incredible Jessica James
Comedy,English,"August 11, 2017",1 h 36 min,Naked
Horror thriller,English,"August 25, 2017",1 h 40 min,Death Note
Comedy horror,English,"September 1, 2017",1 h 34 min,Little Evil
Teen comedy,English,"September 8, 2017",1 h 39 min,#realityhigh
Biographical drama,Khmer,"September 15, 2017",2 h 16 min,First They Killed My Father
Horror thriller,English,"September 29, 2017",1 h 43 min,Gerald's Game
Romance,English,"September 29, 2017",1 h 43 min,Our Souls at Night
Black comedy,Spanish,"October 12, 2017",1 h 29 min,Bomb Scared
Teen comedy horror,English,"October 13, 2017",1 h 25 min,The Babysitter
Comedy drama,English,"October 13, 2017",1 h 52 min,The Meyerowitz Stories (New and Selected)
Horror / Crime drama,English,"October 20, 2017",1 h 42 min,1922
Action thriller,English,"October 20, 2017",1 h 22 min,Wheelman
Western,Portuguese,"November 10, 2017",1 h 39 min,The Killer
Christmas romantic comedy,English,"November 17, 2017",1 h 32 min,A Christmas Prince
Christmas dark comedy,English,"December 8, 2017",1 h 29 min,El Camino Christmas
Christmas romantic drama,English,"December 15, 2017",1 h 44 min,Christmas Inheritance
Urban fantasy,English,"December 22, 2017",1 h 57 min,Bright
