Language,Premiere,Runtime,Title
English,"February 9, 2018",1 h 35 min,Seeing Allred
Georgian,"February 9, 2018",23 min,The Trader
Hindi,"March 8, 2018",39 min,Ladies First
English,"March 16, 2018",1 h 27 min,Take Your Pills
English,"April 6, 2018",31 min,"Ram Dass, Going Home"
English,"April 20, 2018",1 h 19 min,Mercury 13
English,"April 27, 2018",1 h 44 min,The Rachel Divide
English,"May 4, 2018",40 min,End Game
English,"June 29, 2018",1 h 29 min,Recovery Boys
English,"July 27, 2018",1 h 40 min,The Bleeding Edge
English,"September 7, 2018",1 h 16 min,City of Joy
English,"September 13, 2018",1 h 39 min,Reversing Roe
English,"September 21, 2018",2 h 4 min,Quincy
Spanish,"September 28, 2018",1 h 56 min,Two Catalonias
English,"September 28, 2018",23 min,Lessons from a School Shooting: Notes from Dunblane
English,"October 12, 2018",1 h 26 min,Feminists: What Were They Thinking?
English,"October 12, 2018",57 min,ReMastered: Who Shot the Sheriff?
English,"October 26, 2018",1 h 37 min,Shirkers
English,"November 2, 2018",1 h 38 min,They'll Love Me When I'm Dead
English,"November 2, 2018",58 min,ReMastered: Tricky Dick & the Man in Black
English,"December 7, 2018",1 h 38 min,The American Meme
English,"December 7, 2018",58 min,ReMastered: Who Killed Jam Master Jay?
English,"December 12, 2018",34 min,"Out of Many, One"
English,"December 21, 2018",1 h 45 min,Struggle: The Life and Lost Art of Szukalski
