Genre,Language,Premiere,Runtime,Title
Horror anthology,Hindi,"January 1, 2020",2 h 24 min,Ghost Stories
Thriller,English,"January 17, 2020",2 h,A Fall from Grace
Comedy,Portuguese,"January 23, 2020",1 h 36 min,Airplane Mode
Psychological drama,English,"February 7, 2020",1 h 44 min,Horse Girl
Teen romantic comedy,English,"February 12, 2020",1 h 42 min,To All the Boys: P.S. I Still Love You
Romantic comedy,German,"February 14, 2020",1 h 53 min,Isi & Ossi
Political thriller,English,"February 21, 2020",1 h 55 min,The Last Thing He Wanted
Drama,Hindi,"February 21, 2020",1 h 57 min,Yeh Ballet
Teen romance,English,"February 28, 2020",1 h 48 min,All the Bright Places
thriller drama,Hindi,"March 6, 2020",1 h 59 min,Guilty
Action comedy,English,"March 6, 2020",1 h 51 min,Spenser Confidential
Crime drama,English,"March 13, 2020",1 h 35 min,Lost Girls
Sports,Italian,"March 20, 2020",1 h 49 min,Ultras
Thriller,Spanish,"March 25, 2020",1 h 43 min,The Occupant
Romantic comedy,Hindi,"March 27, 2020",1 h 51 min,Maska
Action thriller,French,"March 27, 2020",1 h 23 min,The Decline
Drama,English,"March 27, 2020",1 h 44 min,Uncorked
Action comedy,English,"April 3, 2020",1 h 28 min,Coffee & Kareem
Sports comedy,English,"April 10, 2020",1 h 43 min,The Main Event
Romantic comedy,English,"April 10, 2020",1 h 40 min,Love Wedding Repeat
Drama,English,"April 10, 2020",1 h 31 min,Tigertail
Action,French,"April 17, 2020",1 h 20 min,Earth and Blood
Satire drama,German,"April 17, 2020",1 h 34 min,Rising High
Biopic,English,"April 17, 2020",1 h 58 min,Sergio
Animated comedy,English,"April 22, 2020",1 h 32 min,The Willoughbys
Action thriller,Korean,"April 23, 2020",2 h 15 min,Time to Hunt
Action,English,"April 24, 2020",1 h 57 min,Extraction
Thriller,English,"April 30, 2020",1 h 37 min,Dangerous Lies
Romantic comedy,Portuguese,"April 30, 2020",1 h 45 min,Rich in Love
Drama,English,"May 1, 2020",2 h 1 min,All Day and a Night
Crime,Hindi,"May 1, 2020",1 h 47 min,Mrs. Serial Killer
Teen romance,English,"May 1, 2020",1 h 45 min,The Half of It
Black comedy,English,"May 13, 2020",1 h 30 min,The Wrong Missy
Romantic comedy,English,"May 22, 2020",1 h 27 min,The Lovebirds
Drama,Spanish,"May 27, 2020",1 h 52 min,I'm No Longer Here
Crime thriller,Spanish,"May 28, 2020",1 h 56 min,Intuition
Drama,Hindi,"June 5, 2020",1 h 54 min,Choked: Paisa Bolta Hai
Heist thriller,English,"June 5, 2020",2 h 29 min,The Last Days of American Crime
War drama,English,"June 12, 2020",2 h 35 min,Da 5 Bloods
