Genre,Language,Notes,Premiere,Runtime,Title
Mockumentary,English,,"October 1, 2014",1 h 15 min,Trailer Park Boys: Swearnet Live
Mockumentary,English,,"November 15, 2014",1 h 28 min,Trailer Park Boys: Live at the North Pole
Animation,English,,"December 19, 2014",25 min,BoJack Horseman Christmas Special: Sabrina's Christmas Wish
Making-of,English,,"August 8, 2015",25 min,Sense8: Creating the World
Mockumentary,English,,"December 9, 2015",1 h 15 min,"Trailer Park Boys: Drunk, High and Unemployed Live in Austin"
Period drama,English,,"December 26, 2015",28 min,Marco Polo: One Hundred Eyes
Animation/interactive fiction,English,,"June 20, 2017",23 min,Puss in Book: Trapped in an Epic Tale
Animation/interactive fiction,English,,"July 14, 2017",13 min,Buddy Thunderstruck: The Maybe Pile
Animation,English,,"December 1, 2017",45 min,DreamWorks Home: For the Holidays
Animation,English,,"December 1, 2017",25 min,A StoryBots Christmas
Animation/interactive fiction,English,,"March 13, 2018",45 min,Stretch Armstrong: The Breakout
Animation,English,,"October 5, 2018",23 min,Super Monsters Save Halloween
Mockumentary,Spanish,,"October 19, 2018",50 min,"Club de Cuervos Presents: I, Potro"
Teen drama,English,,"December 7, 2018",57 min,Free Rein: The Twelve Neighs of Christmas
Animation,English,,"December 7, 2018",27 min,Super Monsters and the Wish Star
Sitcom,English,,"December 17, 2018",29 min,Prince of Peoria: A Christmas Moose Miracle
Anime,Japanese,,"December 20, 2018",22 min,Aggretsuko: We Wish You a Metal Christmas
Science fiction/drama/interactive,English,,"December 28, 2018",1 h 30 min,Black Mirror: Bandersnatch
Teen drama,English,,"February 1, 2019",50 min,Free Rein: Valentine's Day
Animation,English,,"February 1, 2019",23 min,True: Happy Hearts Day
Animation,English,,"April 16, 2019",58 min,Super Monsters Furever Friends
Comedy,English,,"May 13, 2019",1 h 9 min,Malibu Rescue
Interview,English,,"June 12, 2019",1 h 1 min,Oprah Winfrey Presents When They See Us Now
Documentary,English,,"August 4, 2019",1 h 3 min,Our Planet - Behind the Scenes
Documentary,English,,"August 31, 2019",1 h 22 min,The Crystal Calls – Making The Dark Crystal: Age of Resistance
Animation,English,,"August 16, 2019",23 min,Super Monsters Back to School
Animation,English,,"September 20, 2019",23 min,True: Tricky Treat Day
Animation,English,,"October 4, 2019",24 min,Super Monsters: Vida's First Halloween
Animation,English,,"October 8, 2019",46 min,The Spooky Tale of Captain Underpants Hack-a-Ween
Talk show,English,,"October 25, 2019",1 h 1 min,My Next Guest with David Letterman and Shah Rukh Khan
Comedy,Spanish,,"November 1, 2019",35 min,The House of Flowers Presents: The Funeral
Animation,English,,"November 1, 2019",23 min,True: Grabbleapple Harvest
Spanish language musical,Spanish,,"November 15, 2019",1 hour,GO! The Unforgettable Party
Animation,English,,"November 26, 2019",24 min,Super Monsters Save Christmas
Animation,English,,"November 26, 2019",45 min,True: Winter Wishes
Animation,English,,"December 6, 2019",45 min,Spirit Riding Free: The Spirit of Christmas
Sitcom,English,,"December 9, 2019",29 min,A Family Reunion Christmas
Variety show,English,,"December 12, 2019",1 h 4 min,Jack Whitehall: Christmas with My Father
Documentary,English,,"January 30, 2020",59 min,Night on Earth: Shot in the Dark
Animation/interactive fiction,English,,"February 11, 2020",37 min,Captain Underpants: Epic Choice-o-Rama
Animation/interactive fiction,English,,"March 10, 2020",31 min,Carmen Sandiego: To Steal or Not to Steal
Making-of,English,,"March 26, 2020",21 min,Making Unorthodox
Animation,English,,"March 27, 2020",46 min,Dragons: Rescue Riders: Hunt for the Golden Dragon
Animation,English,,"March 27, 2020",23 min,True: Wuzzle Wegg Day
Documentary,Spanish,,"April 3, 2020",57 min,Money Heist: The Phenomenon
Animation,English,,"May 1, 2020",42 min,Go! Go! Cory Carson: The Chrissy
Comedy/Interactive fiction,English,,"May 12, 2020",1 h 20 min,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
Animation,English,,"June 2, 2020",23 min,True: Rainbow Rescue
Animation,English,,"July 24, 2020",46 min,Dragons: Rescue Riders: Secrets of the Songwing
Baking competition,English,,"July 31, 2020",44 min,Sugar High
Animation,English,,"August 1, 2020",24 min,Super Monsters: The New Class
Animation,English,,"August 4, 2020",20 min,A Go! Go! Cory Carson Summer Camp
Comedy,English,,"August 4, 2020",1 h 10 min,Malibu Rescue: The Next Wave
Animation,English,,"August 7, 2020",45 min,The Magic School Bus Rides Again: Kids in Space
Making-of,English,,"August 26, 2020",32 min,Making The Witcher
Animation,English,,"September 1, 2020",23 min,True: Friendship Day
Animation/interactive fiction,English,,"September 1, 2020",24 min,The Boss Baby: Get That Baby!
Animation,English,,"October 2, 2020",21 min,A Go! Go! Cory Carson Halloween
Animation,English,,"October 6, 2020",33 min,StarBeam: Halloween Hero
Animation,English,,"October 9, 2020",25 min,Super Monsters: Dia de los Monsters
Animation,English,,"October 20, 2020",46 min,The Magic School Bus Rides Again: The Frizz Connection
Animation,English,,"November 24, 2020",46 min,Dragons: Rescue Riders: Huttsgalor Holiday
Animation,English,,"November 27, 2020",21 min,A Go! Go! Cory Carson Christmas
Animation,English,,"December 3, 2020",25 min,Chico Bon Bon and the Very Berry Holiday
Animation,English,,"December 4, 2020",46 min,Captain Underpants: Mega Blissmas
Animation,English,,"December 5, 2020",25 min,Mighty Express: A Mighty Christmas
Animation/interactive fiction,English,,"December 8, 2020",22 min,Spirit Riding Free: Ride Along Adventure
Animation,English,,"December 8, 2020",24 min,Super Monsters: Santa's Super Monster Helpers
Animation,English,,"December 11, 2020",28 min,A Trash Truck Christmas
Aftershow,English,,"December 13, 2020",59 min,The Netflix Afterparty: The Best Shows of the Worst Year
Spanish language comedy,Spanish,,"December 17, 2020",1 h 22 min,An Unremarkable Christmas
Animation,English,,"December 26, 2020",46 min,The Magic School Bus Rides Again: In the Zone
Aftershow,English,,"January 2, 2021",34 min,Cobra Kai - The Afterparty
Making-of,English,,"January 8, 2021",14 min,Creating The Queen's Gambit
Aftershow,English,,"January 23, 2021",38 min,Bridgerton - The Afterparty
Aftershow,English,,"January 30, 2021",35 min,Bling Empire - The Afterparty
Reality television/Interactive fiction,English,,"February 16, 2021",45 min,Animals on the Loose: A You vs. Wild Interactive Movie
Aftershow,English,,"February 20, 2021",35 min,Fate: The Winx Saga - The Afterparty
Aftershow,English,,"February 26, 2021",35 min,Ginny & Georgia - The Afterparty
Animation/Interactive fiction,English,,"April 6, 2021",27 min,The Last Kids on Earth: Happy Apocalypse to You
Aftershow,English,,"April 16, 2021",37 min,Dad Stop Embarrassing Me! - The Afterparty
Aftershow,English,,"April 24, 2021",32 min,Shadow and Bone - The Afterparty
Aftershow,English,,"May 7, 2021",35 min,The Circle - The Afterparty
Aftershow,English,,"May 14, 2021",32 min,The Upshaws - The Afterparty
Animation,English,,"June 1, 2021",25 min,Super Monsters: Once Upon a Rhyme
Aftershow,English,,"June 10, 2021",35 min,Trese After Dark
Documentary/Interactive fiction,English,,"June 15, 2021",15 min,Headspace: Unwind Your Mind
Comedy,Spanish,,"June 23, 2021",1 h 27 min,The House of Flowers: The Movie
Period horror thriller,Korean,,"July 23, 2021",1 h 33 min,Kingdom: Ashin of the North
Interactive reality,English,,"September 14, 2021",25 min,You vs. Wild: Out Cold
Animation,English,,"September 15, 2021",13 min,A StoryBots Space Adventure
Animation,English,,"September 21, 2021",1 h 1 min,Go! Go! Cory Carson: Chrissy Takes the Wheel
Making-of,English,,"October 10, 2021",28 min,Making The Billion Dollar Code
Animation,English,,"October 15, 2021",24 min,Sharkdog's Fintastic Halloween
Animation/Interactive,English,,"November 16, 2021",20 min,Johnny Test's Ultimate Meatloaf Quest
Cooking show,English,,"November 23, 2021",28 min,Waffles + Mochi's Holiday Feast
Animation,English,,"December 14, 2021",47 min.,StarBeam: Beaming in the New Year
Making-of,English,,"December 17, 2021",37 min,Making The Witcher: Season 2
Clipshow,English,,"December 17, 2021",11 min,The Witcher Bestiary Season 1 Part 1
Clipshow,English,,"December 17, 2021",10 min,The Witcher Bestiary Season 1 Part 2
Yule log,English,,"December 17, 2021",59 min,The Witcher: Fireplace
Clipshow,English,,"December 17, 2021",15 min,The Witcher Season One Recap: From the Beginning
Making-of,English,,"December 17, 2021",9 min,The Witcher: Characters of the Continent
Animation,English,,"January 18, 2022",25 min,Mighty Express: Train Trouble
Making-of,English,,"April 22, 2022",30 min,A Farewell to Ozark
Animation/interactive fiction,No spoken language,,"May 25, 2022",33 min,Larva Pendant
Animation,No spoken language,,"May 30, 2022",20 min,Mighty Little Bheem: I Love Taj Mahal
Interactive reality,English,,"July 8, 2022",1 h 10 min,Ranveer vs. Wild with Bear Grylls
Clipshow,English,,"August 23, 2022",19 min,The Witcher Bestiary Season 2
Animation/Interactive fiction,English,,"November 15, 2022",32 min,Jurassic World Camp Cretaceous: Hidden Adventure
Making-of,English,,"November 17, 2022",50 min,Making 1899
Animation,English,,"November 28, 2022",27 min,The Action Pack Saves Christmas
Animation,English,,"December 5, 2022",25 min,Mighty Express: Mighty Trains Race
Animation,English,,"December 6, 2022",45 min,The Boss Baby: Christmas Bonus
Talk show,English,,"December 12, 2022",44 min,My Next Guest with David Letterman and Volodymyr Zelenskyy
Crime improv comedy,English,,"December 15, 2022",52 min,Who Killed Santa? A Murderville Murder Mystery
Making-of,English,,"December 25, 2022",15 min,Making The Witcher: Blood Origin
Behind the scenes,English,,"January 31, 2023",27 min,Copenhagen Cowboy: Nightcall with Nicolas Winding Refn
Making-of,English,,"April 7, 2023",29 min,Making Transatlantic
Historical drama,English,,"April 14, 2023",1 h 51 min,The Last Kingdom: Seven Kings Must Die
Making-of,English,,"July 27, 2023",30 min,Making The Witcher: Season 3
