Finale,Language,Netflix exclusive region,Notes,Premiere,Runtime,Seasons,Title
"February 5, 2016",English,Selected territories,,"December 24, 2013",23 min,"3 seasons, 52 episodes",Turbo Fast
"September 23, 2016",English,Selected territories,,"November 26, 2014",23 min,"4 seasons, 52 episodes",VeggieTales in the House
"January 26, 2018",English,Selected territories,,"January 16, 2015",22–24 min,"6 seasons, 78 episodes",The Adventures of Puss in Boots
"August 18, 2017",English,Selected territories,,"August 14, 2015",23 min,"5 seasons, 52 episodes",Dinotrux
"April 21, 2017",English,Selected territories,,"October 9, 2015",23 min,"4 seasons, 52 episodes",The Mr. Peabody & Sherman Show
"July 7, 2017",English,Selected territories,,"December 24, 2015",23 min,"4 seasons, 52 episodes",Dawn of the Croods
"July 20, 2018",English,Selected territories,,"July 29, 2016",22–24 min,"4 seasons, 52 episodes",Home: Adventures with Tip & Oh
"September 15, 2017",English,Selected territories,,"February 24, 2017",23 min,"2 seasons, 26 episodes",VeggieTales in the City
"April 5, 2019",English,Selected territories,,"May 5, 2017",23 min,"8 seasons, 52 episodes",Spirit Riding Free
"August 3, 2018",English,Selected territories,,"November 10, 2017",24 min,"3 seasons, 26 episodes",Dinotrux Supercharged
"May 5, 2021",Korean,Selected territories,,"May 5, 2021",24–27 min,"1 season, 8 episodes",Ask the StoryBots Korea Edition
"March 25, 2022",English,Selected territories,,"March 25, 2022",24–25 min,"1 season, 10 episodes",Transformers: BotBots
