Finale,Genre,Language,Netflix exclusive region,Notes,Premiere,Previous network(s),Runtime,Seasons,Title
"March 15, 2019",Comedy,English,Selected territories,,"May 26, 2013",Fox,23–48 min,"2 seasons, 38 episodes",Arrested Development (seasons 4–5)
"March 7, 2014",Animation Science fiction,English,Selected territories,,"March 7, 2014",Cartoon Network,19–26 min,"1 season, 13 episodes",Star Wars: The Clone Wars (season 6)
"August 1, 2014",Crime drama,English,Selected territories,,"August 1, 2014",AMC,42–59 min,"1 season, 6 episodes",The Killing (season 4)
"November 17, 2017",Crime drama,English,Selected territories,,"September 10, 2015",A&E Network,42–71 min,"3 seasons, 30 episodes",Longmire (seasons 4–6)
"November 22, 2018",Comic science fiction,English,Selected territories,,"April 14, 2017",KTMA-TV (season 0)The Comedy Channel (seasons 1–2)Comedy Central (seasons 3–7)Sci-Fi Channel (seasons 8–10),86–94 min,"2 seasons, 20 episodes",Mystery Science Theater 3000 (seasons 11–12)
"October 17, 2017",Horror anthology series,English,Selected territories,,"October 17, 2017",ChillerSuper Channel,46–53 min,"1 season, 8 episodes",Slasher (season 2)
"December 1, 2019",Black comedy,English,Selected territories,,"November 28, 2017",YouTube,25 min,"2 seasons, 12 episodes",EastSiders (seasons 3–4)
"March 15, 2019",Telenovela,Spanish,Selected territories,,"March 15, 2019",Caracol Televisión,42–61 min,"1 season, 60 episodes",The Mafia Dolls (season 2)
"September 10, 2021",Fantasy/police procedural,English,Worldwide except Germany and Austria,,"May 8, 2019",Fox,44–65 min,"3 seasons, 36 episodes",Lucifer (seasons 4–6)
"September 29, 2023",Superhero science fiction,English,United States (season 29)Selected territories (season 30),,"March 3, 2022",Fox Kids (seasons 1–10A)ABC Kids/Jetix (seasons 10B–17)Nickelodeon (seasons 18–28),22–25 min,"2 seasons, 32 episodes",Power Rangers (seasons 29–30)
