File,Title,International title,Genre,lang,Country,IMDB Score,Seasons,Budget,Runtime
Ended_Netflix_original_table_0.csv,House of Cards,,political drama,,,,"6 seasons, 73 episodes",,42–59 min
Ended_Netflix_original_table_0.csv,Orange Is the New Black,,comedy drama,,,,"7 seasons, 91 episodes",,50–92 min
Ended_Netflix_original_table_0.csv,Marco Polo,,historical/drama,,,,"2 seasons, 20 episodes",,48–65 min
Ended_Netflix_original_table_0.csv,Bloodline,,thriller,,,,"3 seasons, 33 episodes",,48–68 min
Ended_Netflix_original_table_0.csv,Daredevil,,superhero legal drama,,,,"3 seasons, 39 episodes",,46–61 min
Ended_Netflix_original_table_0.csv,Sense8,,science fiction,,,,"2 seasons, 24 episodes",,45–152 min
Ended_Netflix_original_table_0.csv,Narcos,,crime/drama,,,,"3 seasons, 30 episodes",,43–60 min
Ended_Netflix_original_table_0.csv,Jessica Jones,,superhero psychological thriller,,,,"3 seasons, 39 episodes",,44–56 min
Ended_Netflix_original_table_0.csv,The Get Down,,musical/drama,,,,"2 parts, 11 episodes",,50–93 min
Ended_Netflix_original_table_0.csv,Luke Cage,,neo-blaxploitation superhero,,,,"2 seasons, 26 episodes",,46–69 min
Ended_Netflix_original_table_0.csv,Gilmore Girls: A Year in the Life,,family drama,,,,4 episodes,,88–102 min
Ended_Netflix_original_table_0.csv,The OA,,mystery,,,,"2 parts, 16 episodes",,31–71 min
Ended_Netflix_original_table_0.csv,Iron Fist,,superhero martial arts,,,,"2 seasons, 23 episodes",,49–61 min
Ended_Netflix_original_table_0.csv,13 Reasons Why,,mystery/teen/drama,,,,"4 seasons, 49 episodes",,49–98 min
Ended_Netflix_original_table_0.csv,Gypsy,,psychological thriller,,,,"1 season, 10 episodes",,46–58 min
Ended_Netflix_original_table_0.csv,Ozark,,crime/drama,,,,"4 seasons, 44 episodes",,50–80 min
Ended_Netflix_original_table_0.csv,The Defenders,,superhero action/drama,,,,8 episodes,,44–57 min
Ended_Netflix_original_table_0.csv,Mindhunter,,crime/drama,,,,"2 seasons, 19 episodes",,34–73 min
Ended_Netflix_original_table_0.csv,The Punisher,,superhero drama,,,,"2 seasons, 26 episodes",,47–58 min
Ended_Netflix_original_table_0.csv,Godless,,western,,,,7 episodes,,41–80 min
Ended_Netflix_original_table_0.csv,Altered Carbon,,science fiction,,,,"2 seasons, 18 episodes",,43–66 min
Ended_Netflix_original_table_0.csv,Seven Seconds,,crime/drama,,,,"1 season, 10 episodes",,54–80 min
Ended_Netflix_original_table_0.csv,The Innocents,,supernatural fiction,,,,"1 season, 8 episodes",,46–56 min
Ended_Netflix_original_table_0.csv,The Haunting of Hill House,,horror,,,,10 episodes,,43–71 min
Ended_Netflix_original_table_0.csv,Chilling Adventures of Sabrina,,supernatural coming-of-age horror,,,,"4 parts, 36 episodes",,50–64 min
Ended_Netflix_original_table_0.csv,Narcos: Mexico,,crime/drama,,,,"3 seasons, 30 episodes",,45–70 min
Ended_Netflix_original_table_0.csv,Tidelands,,supernatural crime drama,,,,"1 season, 8 episodes",,36–48 min
Ended_Netflix_original_table_0.csv,The Order,,supernatural horror drama,,,,"2 seasons, 20 episodes",,42–51 min
Ended_Netflix_original_table_0.csv,Black Summer,,apocalyptic fiction drama,,,,"2 seasons, 16 episodes",,21–58 min
Ended_Netflix_original_table_0.csv,Chambers,,teen psychological thriller,,,,"1 season, 10 episodes",,38–51 min
Ended_Netflix_original_table_0.csv,The Society,,mystery drama,,,,"1 season, 10 episodes",,49–61 min
Ended_Netflix_original_table_0.csv,What/If,,social thriller anthology,,,,"1 season, 10 episodes",,44–58 min
Ended_Netflix_original_table_0.csv,When They See Us,,drama,,,,4 episodes,,64–88 min
Ended_Netflix_original_table_0.csv,Armistead Maupin's Tales of the City,,drama,,,,10 episodes,,46–60 min
Ended_Netflix_original_table_0.csv,Trinkets,,coming-of-age drama,,,,"2 seasons, 20 episodes",,22–30 min
Ended_Netflix_original_table_0.csv,Another Life,,science fiction/drama,,,,"2 seasons, 20 episodes",,36–61 min
Ended_Netflix_original_table_0.csv,Wu Assassins,,supernatural martial arts drama,,,,"1 season, 10 episodes",,40–51 min
Ended_Netflix_original_table_0.csv,The I-Land,,science fiction/thriller,,,,7 episodes,,37–43 min
Ended_Netflix_original_table_0.csv,Unbelievable,,drama,,,,8 episodes,,44–59 min
Ended_Netflix_original_table_0.csv,Criminal: UK,,police procedural anthology series,,,,"2 seasons, 7 episodes",,41–47 min
Ended_Netflix_original_table_0.csv,V Wars,,science fiction horror drama,,,,"1 season, 10 episodes",,37–57 min
Ended_Netflix_original_table_0.csv,Soundtrack,,musical/drama,,,,"1 season, 10 episodes",,52–61 min
Ended_Netflix_original_table_0.csv,Messiah,,thriller,,,,"1 season, 10 episodes",,38–55 min
Ended_Netflix_original_table_0.csv,Spinning Out,,drama,,,,"1 season, 10 episodes",,44–56 min
Ended_Netflix_original_table_0.csv,October Faction,,horror,,,,"1 season, 10 episodes",,36–49 min
Ended_Netflix_original_table_0.csv,The Stranger,,thriller,,,,8 episodes,,42–52 min
Ended_Netflix_original_table_0.csv,Locke & Key,,fantasy drama/supernatural horror,,,,"3 seasons, 28 episodes",,33–56 min
Ended_Netflix_original_table_0.csv,Queen Sono,,crime/drama,,,,"1 season, 6 episodes",,32–47 min
Ended_Netflix_original_table_0.csv,Self Made: Inspired by the Life of Madam C. J. Walker,,biopic,,,,4 episodes,,45–49 min
Ended_Netflix_original_table_0.csv,The English Game,,historical/drama,,,,"1 season, 6 episodes",,43–55 min
Ended_Netflix_original_table_0.csv,Unorthodox,,drama,,,,4 episodes,,52–55 min
Ended_Netflix_original_table_0.csv,Hollywood,,drama,,,,"1 season, 7 episodes",,44–57 min
Ended_Netflix_original_table_0.csv,The Eddy,,musical/drama,,,,8 episodes,,54–69 min
Ended_Netflix_original_table_0.csv,White Lines,,drama,,,,"1 season, 10 episodes",,50–63 min
Ended_Netflix_original_table_0.csv,Homemade,,anthology series,,,,"1 volume, 17 episodes",,4–11 min
Ended_Netflix_original_table_0.csv,Warrior Nun,,fantasy,,,,"2 seasons, 18 episodes",,36–52 min
Ended_Netflix_original_table_0.csv,Cursed,,fantasy,,,,"1 season, 10 episodes",,48–59 min
Ended_Netflix_original_table_0.csv,Young Wallander,,detective drama,,,,"2 seasons, 12 episodes",,36–52 min
Ended_Netflix_original_table_0.csv,Away,,science fiction,,,,"1 season, 10 episodes",,44–57 min
Ended_Netflix_original_table_0.csv,The Haunting of Bly Manor,,horror/gothic-romance,,,,9 episodes,,45–66 min
Ended_Netflix_original_table_0.csv,Social Distance,,anthology series,,,,"1 season, 8 episodes",,18–23 min
Ended_Netflix_original_table_0.csv,Grand Army,,teen drama,,,,"1 season, 9 episodes",,47–72 min
Ended_Netflix_original_table_0.csv,The Queen's Gambit,,coming-of-age period drama,,,,7 episodes,,46–67 min
Ended_Netflix_original_table_0.csv,Dash & Lily,,romance,,,,"1 season, 8 episodes",,23–27 min
Ended_Netflix_original_table_0.csv,Kings of Jo'Burg,,fantasy crime drama,,,,"2 seasons, 14 episodes",,37–65 min
Ended_Netflix_original_table_0.csv,Tiny Pretty Things,,teen drama,,,,"1 season, 10 episodes",,54–58 min
Ended_Netflix_original_table_0.csv,Fate: The Winx Saga,,teen drama fantasy,,,,"2 seasons, 13 episodes",,47–55 min
Ended_Netflix_original_table_0.csv,Firefly Lane,,drama,,,,"2 seasons, 26 episodes",,43–70 min
Ended_Netflix_original_table_0.csv,Behind Her Eyes,,psychological thriller,,,,6 episodes,,46–53 min
Ended_Netflix_original_table_0.csv,The One,,science fiction,,,,"1 season, 8 episodes",,38–44 min
Ended_Netflix_original_table_0.csv,The Irregulars,,mystery drama,,,,"1 season, 8 episodes",,49–58 min
Ended_Netflix_original_table_0.csv,Jupiter's Legacy,,superhero epic,,,,"1 season, 8 episodes",,35–56 min
Ended_Netflix_original_table_0.csv,Halston,,drama,,,,"1 season, 5 episodes",,44–53 min
Ended_Netflix_original_table_0.csv,Jiva!,,drama,,,,"1 season, 5 episodes",,26–50 min
Ended_Netflix_original_table_0.csv,Sex/Life,,drama,,,,"2 seasons, 14 episodes",,43–56 min
Ended_Netflix_original_table_0.csv,Hit & Run,,thriller,,,,"1 season, 9 episodes",,39–58 min
Ended_Netflix_original_table_0.csv,Brand New Cherry Flavor,,horror/thriller,,,,8 episodes,,36–51 min
Ended_Netflix_original_table_0.csv,Clickbait,,thriller,,,,8 episodes,,42–52 min
Ended_Netflix_original_table_0.csv,King of Boys: The Return of the King,,crime/drama,,,,7 episodes,,60–79 min
Ended_Netflix_original_table_0.csv,Midnight Mass,,horror,,,,7 episodes,,59–70 min
Ended_Netflix_original_table_0.csv,Maid,,comedy drama,,,,10 episodes,,47–60 min
Ended_Netflix_original_table_0.csv,Colin in Black & White,,biopic,,,,6 episodes,,27–35 min
Ended_Netflix_original_table_0.csv,Cowboy Bebop,,science fiction,,,,"1 season, 10 episodes",,37–60 min
Ended_Netflix_original_table_0.csv,True Story,,drama,,,,7 episodes,,27–58 min
Ended_Netflix_original_table_0.csv,Stay Close,,thriller,,,,8 episodes,,39–53 min
Ended_Netflix_original_table_0.csv,Archive 81,,found footage horror,,,,"1 season, 8 episodes",,45–58 min
Ended_Netflix_original_table_0.csv,In From the Cold,,thriller,,,,"1 season, 8 episodes",,41–53 min
Ended_Netflix_original_table_0.csv,Inventing Anna,,drama,,,,9 episodes,,59–82 min
Ended_Netflix_original_table_0.csv,Pieces of Her,,thriller,,,,"1 season, 8 episodes",,42–62 min
Ended_Netflix_original_table_0.csv,Anatomy of a Scandal,,anthology/drama,,,,6 episodes,,43–48 min
Ended_Netflix_original_table_0.csv,Blood Sisters,,thriller,,,,4 episodes,,52–59 min
Ended_Netflix_original_table_0.csv,First Kill,,horror/drama,,,,"1 season, 8 episodes",,42–59 min
Ended_Netflix_original_table_0.csv,Resident Evil,,science fiction horror,,,,"1 season, 8 episodes",,44–61 min
Ended_Netflix_original_table_0.csv,Country Queen,,drama,,,,"1 season, 6 episodes",,58–62 min
Ended_Netflix_original_table_0.csv,Keep Breathing,,survival drama,,,,6 episodes,,31–40 min
Ended_Netflix_original_table_0.csv,Justice Served,,drama,,,,"1 season, 6 episodes",,38–44 min
Ended_Netflix_original_table_0.csv,Echoes,,mystery thriller,,,,7 episodes,,40–54 min
Ended_Netflix_original_table_0.csv,Lost Ollie,,drama,,,,4 episodes,,41–51 min
Ended_Netflix_original_table_0.csv,Partner Track,,legal drama,,,,"1 season, 10 episodes",,40–45 min
Ended_Netflix_original_table_0.csv,Devil in Ohio,,thriller,,,,8 episodes,,40–49 min
Ended_Netflix_original_table_0.csv,The Imperfects,,science fiction,,,,"1 season, 10 episodes",,39–45 min
Ended_Netflix_original_table_0.csv,Dahmer – Monster: The Jeffrey Dahmer Story,,crime/drama,,,,"1 season, 10 episodes",,45–63 min
Ended_Netflix_original_table_0.csv,The Midnight Club,,teen horror drama,,,,"1 season, 10 episodes",,48–58 min
Ended_Netflix_original_table_0.csv,From Scratch,,drama,,,,8 episodes,,49–58 min
Ended_Netflix_original_table_0.csv,Guillermo del Toro's Cabinet of Curiosities,,horror anthology,,,,"1 season, 8 episodes",,38–64 min
Ended_Netflix_original_table_0.csv,The Bastard Son & The Devil Himself,,fantasy drama,,,,"1 season, 8 episodes",,41–53 min
Ended_Netflix_original_table_0.csv,1899,,epic period mystery horror,,,,"1 season, 8 episodes",,50–62 min
Ended_Netflix_original_table_0.csv,Far from Home,,coming-of-age drama,,,,"1 season, 5 episodes",,32–54 min
Ended_Netflix_original_table_0.csv,The Witcher: Blood Origin,,fantasy drama,,,,4 episodes,,42–63 min
Ended_Netflix_original_table_0.csv,Treason,,spy drama,,,,5 episodes,,37–44 min
Ended_Netflix_original_table_0.csv,Kaleidoscope,,heist drama,,,,8 episodes,,34–56 min
Ended_Netflix_original_table_0.csv,Shanty Town,,crime/drama,,,,"1 season, 6 episodes",,35–46 min
Ended_Netflix_original_table_0.csv,Lockwood & Co.,,supernatural detective thriller,,,,"1 season, 8 episodes",,37–49 min
Ended_Netflix_original_table_0.csv,Transatlantic,,historical/drama,,,,7 episodes,,46–56 min
Ended_Netflix_original_table_0.csv,Florida Man,,crime/drama,,,,7 episodes,,41–56 min
Ended_Netflix_original_table_0.csv,Obsession,,erotic thriller,,,,4 episodes,,33–43 min
Ended_Netflix_original_table_0.csv,Queen Charlotte: A Bridgerton Story,,historical/drama,,,,6 episodes,,54–86 min
Ended_Netflix_original_table_0.csv,Painkiller,,crime/drama,,,,6 episodes,,41–59 min
Ended_Netflix_original_table_0.csv,Who Is Erin Carter?,,action/adventure,,,,7 episodes,,44–54 min
Ended_Netflix_original_table_0.csv,The Fall of the House of Usher,,horror/drama,,,,8 episodes,,56–76 min
Ended_Netflix_original_table_0.csv,Bodies,,crime thriller,,,,8 episodes,,55–61 min
Ended_Netflix_original_table_0.csv,All the Light We Cannot See,,historical/drama,,,,4 episodes,,51–62 min
Ended_Netflix_original_table_1.csv,Unbreakable Kimmy Schmidt,,comedy,,,,"4 seasons, 52 episodes",,23–53 min
Ended_Netflix_original_table_1.csv,Grace and Frankie,,comedy drama,,,,"7 seasons, 94 episodes",,25–35 min
Ended_Netflix_original_table_1.csv,Wet Hot American Summer: First Day of Camp,,satirical comedy,,,,"1 season, 8 episodes",,27–30 min
Ended_Netflix_original_table_1.csv,Master of None,,comedy,,,,"3 seasons, 25 episodes",,20–57 min
Ended_Netflix_original_table_1.csv,W/ Bob & David,,sketch comedy,,,,"1 season, 5 episodes",,27–33 min
Ended_Netflix_original_table_1.csv,Real Rob,,comedy,,,,"2 seasons, 16 episodes",,24–38 min
Ended_Netflix_original_table_1.csv,Love,,romantic comedy,,,,"3 seasons, 34 episodes",,24–40 min
Ended_Netflix_original_table_1.csv,Flaked,,comedy,,,,"2 seasons, 14 episodes",,30–34 min
Ended_Netflix_original_table_1.csv,Netflix Presents: The Characters,,sketch comedy,,,,"1 season, 8 episodes",,27–38 min
Ended_Netflix_original_table_1.csv,The Ranch,,sitcom,,,,"8 parts, 80 episodes",,25–36 min
