File,Genre,Premiere,Runtime,Seasons,Title,Language,Partner/Country
netflix-ori-program_table_0.csv,Science fiction horror,"July 15, 2016",42–150 min,"4 seasons, 34 episodes",Stranger Things,,
netflix-ori-program_table_0.csv,Historical drama,"November 4, 2016",47–61 min,"5 seasons, 50 episodes",The Crown,,
netflix-ori-program_table_0.csv,Superhero action,"February 15, 2019",40–60 min,"3 seasons, 30 episodes",The Umbrella Academy,,
netflix-ori-program_table_0.csv,Romantic drama,"December 6, 2019",39–49 min,"5 seasons, 52 episodes",Virgin River,,
netflix-ori-program_table_0.csv,Fantasy drama,"December 20, 2019",47–67 min,"3 seasons, 24 episodes",The Witcher,,
netflix-ori-program_table_0.csv,Coming-of-age/drama,"April 15, 2020",42–79 min,"3 seasons, 30 episodes",Outer Banks,,
netflix-ori-program_table_0.csv,Romantic drama,"May 19, 2020",43–54 min,"3 seasons, 30 episodes",Sweet Magnolias,,
netflix-ori-program_table_0.csv,Teen drama,"May 20, 2020",43–53 min,"3 seasons, 19 episodes",Blood & Water,,
netflix-ori-program_table_0.csv,Psychological thriller,"September 18, 2020",45–62 min,"1 season, 8 episodes",Ratched,,
netflix-ori-program_table_0.csv,Historical romance,"December 25, 2020",53–72 min,"2 seasons, 16 episodes",Bridgerton,,
netflix-ori-program_table_0.csv,Coming-of-age/drama,"February 24, 2021",52–62 min,"2 seasons, 20 episodes",Ginny & Georgia,,
netflix-ori-program_table_0.csv,Fantasy drama,"April 23, 2021",45–63 min,"2 seasons, 16 episodes",Shadow and Bone,,
netflix-ori-program_table_0.csv,Fantasy drama,"June 4, 2021",37–57 min,"2 seasons, 16 episodes",Sweet Tooth,,
netflix-ori-program_table_0.csv,Historical drama,"February 25, 2022",43–59 min,"2 seasons, 16 episodes",Vikings: Valhalla,,
netflix-ori-program_table_0.csv,Drama,"May 12, 2022",43–54 min,"1 season, 6 episodes",Savage Beauty,,
netflix-ori-program_table_0.csv,Legal thriller,"May 13, 2022",43–55 min,"2 seasons, 20 episodes",The Lincoln Lawyer,,
netflix-ori-program_table_0.csv,Fantasy,"August 5, 2022",37–64 min,"1 season, 11 episodes",The Sandman,,
netflix-ori-program_table_0.csv,Teen drama,"September 14, 2022",45–51 min,"1 season, 8 episodes",Heartbreak High,,
netflix-ori-program_table_0.csv,Horror,"October 13, 2022",44–52 min,"1 season, 7 episodes",The Watcher,,
netflix-ori-program_table_0.csv,Spy adventure,"December 16, 2022",50–58 min,"1 season, 8 episodes",The Recruit,,
netflix-ori-program_table_0.csv,Political thriller,"March 23, 2023",45–56 min,"1 season, 10 episodes",The Night Agent,,
netflix-ori-program_table_0.csv,Crime thriller,"March 29, 2023",40–52 min,"1 season, 6 episodes",Unseen,,
netflix-ori-program_table_0.csv,Political thriller,"April 20, 2023",44–56 min,"1 season, 8 episodes",The Diplomat,,
netflix-ori-program_table_0.csv,Drama,"June 22, 2023",39–46 min,"1 season, 10 episodes",Glamorous,,
netflix-ori-program_table_0.csv,Thriller,"July 7, 2023",26–35 min,"1 season, 14 episodes",Fatal Seduction,,
netflix-ori-program_table_0.csv,Action-adventure,"August 31, 2023",49–64 min,"1 season, 8 episodes",One Piece,,
netflix-ori-program_table_0.csv,Coming-of-age/drama,"September 15, 2023",33–42 min,"1 season, 6 episodes",Miseducation,,
netflix-ori-program_table_0.csv,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,,
netflix-ori-program_table_0.csv,Thriller/drama,"January 1, 2024",TBA,TBA,Fool Me Once,,
netflix-ori-program_table_0.csv,Biopic crime drama,"January 25, 2024",TBA,6 episodes,Griselda,,
netflix-ori-program_table_1.csv,Sketch comedy,"April 23, 2019",14–18 min,"3 seasons, 18 episodes",I Think You Should Leave with Tim Robinson,,
netflix-ori-program_table_1.csv,Comedy drama,"October 2, 2020",24–38 min,"3 seasons, 30 episodes",Emily in Paris,,
netflix-ori-program_table_1.csv,Sitcom,"May 12, 2021",22–29 min,"4 parts, 32 episodes",The Upshaws,,
netflix-ori-program_table_1.csv,Comedy,"August 24, 2022",21–31 min,"1 season, 8 episodes",Mo,,
netflix-ori-program_table_1.csv,Comedy horror,"November 23, 2022",47–59 min,"1 season, 8 episodes",Wednesday,,
netflix-ori-program_table_1.csv,Period teen sitcom,"January 19, 2023",21–30 min,"1 season, 10 episodes",That '90s Show,,
netflix-ori-program_table_1.csv,Comedy,"March 30, 2023",20–26 min,"1 season, 8 episodes",Unstable,,
netflix-ori-program_table_1.csv,Comedy drama,"April 6, 2023",30–39 min,"1 season, 10 episodes",Beef,,
netflix-ori-program_table_1.csv,Romance comedy drama,"May 18, 2023",24–34 min,"1 season, 10 episodes","XO, Kitty",,
netflix-ori-program_table_1.csv,Spy action comedy,"May 25, 2023",45–59 min,"1 season, 8 episodes",FUBAR,,
netflix-ori-program_table_1.csv,Comedy drama,"July 13, 2023",24–28 min,"1 season, 8 episodes",Survival of the Thickest,,
netflix-ori-program_table_1.csv,Comedy drama,"October 5, 2023",44–50 min,"1 season, 8 episodes",Everything Now,,
netflix-ori-program_table_1.csv,Comedy,"October 19, 2023",26–30 min,"1 season, 8 episodes",Neon,,
netflix-ori-program_table_1.csv,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,,
netflix-ori-program_table_1.csv,Action comedy,"November 30, 2023",TBA,"1 season, 8 episodes",Obliterated,,
netflix-ori-program_table_2.csv,Teen drama,"April 22, 2022",26–40 min,"2 seasons, 16 episodes",Heartstopper,,
netflix-ori-program_table_3.csv,Coming-of-age comedy,"September 29, 2017",25–46 min,"7 seasons, 71 episodes",Big Mouth,English,
netflix-ori-program_table_3.csv,Anthology,"March 15, 2019",6–21 min,"3 volumes, 35 episodes","Love, Death & Robots",English,
netflix-ori-program_table_3.csv,Comedy,"July 1, 2021",11–38 min,"2 seasons, 14 episodes",Masameer County,Arabic,
netflix-ori-program_table_3.csv,Spy comedy,"March 17, 2023",23–26 min,"1 season, 10 episodes",Agent Elvis,English,
netflix-ori-program_table_3.csv,Science fiction comedy,"May 12, 2023",25–27 min,"1 season, 10 episodes",Mulligan,English,
netflix-ori-program_table_3.csv,Comedy,"June 9, 2023",24–34 min,"1 season, 6 episodes",This World Can't Tear Me Down,Italian,
netflix-ori-program_table_3.csv,Comedy,"July 28, 2023",26–27 min,"1 season, 10 episodes",Captain Fall,English,
netflix-ori-program_table_3.csv,Action,"November 3, 2023",35–62 min,"1 season, 8 episodes",Blue Eye Samurai,English,
netflix-ori-program_table_3.csv,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,
netflix-ori-program_table_3.csv,Comedy drama,"December 15, 2023",TBA,10 episodes,​Carol & The End of The World,English,
netflix-ori-program_table_3.csv,Animation,"January 25, 2024",TBA,TBA,Masters of the Universe: Revolution,English,
netflix-ori-program_table_4.csv,Martial arts,"July 31, 2019",24–27 min,"2 seasons, 36 episodes",Kengan Ashura,Japanese,
netflix-ori-program_table_4.csv,Fantasy action,"October 27, 2020",25–37 min,"1 season, 8 episodes",Blood of Zeus,English,
netflix-ori-program_table_4.csv,Action,"June 17, 2021",23–26 min,"2 seasons, 27 episodes",Record of Ragnarok,Japanese,
netflix-ori-program_table_4.csv,Martial arts,"September 30, 2021",24–25 min,"2 seasons, 39 episodes",Baki Hanma,Japanese,
netflix-ori-program_table_4.csv,Dark fantasy,"June 30, 2022",23–25 min,"2 seasons, 39 episodes","Bastard!! -Heavy Metal, Dark Fantasy-",Japanese,
netflix-ori-program_table_4.csv,Science fiction,"May 18, 2023",27–45 min,"1 season, 6 episodes",Yakitori: Soldiers of Misfortune,Japanese,
netflix-ori-program_table_4.csv,Adventure,"June 22, 2023",19–25 min,"1 season, 8 episodes",Skull Island,English,
netflix-ori-program_table_4.csv,Historical drama,"June 29, 2023",25–79 min,"1 season, 10 episodes",Ōoku: The Inner Chambers,Japanese,
netflix-ori-program_table_4.csv,Kaiju science fiction,"September 7, 2023",43–47 min,"1 season, 6 episodes",Gamera Rebirth,Japanese,
netflix-ori-program_table_4.csv,Dark fantasy,"September 28, 2023",24–30 min,"1 season, 8 episodes",Castlevania: Nocturne,English,
netflix-ori-program_table_4.csv,Fantasy,"October 12, 2023",24–30 min,"1 season, 12 episodes",Good Night World,Japanese,
netflix-ori-program_table_4.csv,Science fiction,"October 19, 2023",20–25 min,"1 season, 6 episodes",Captain Laserhawk: A Blood Dragon Remix,English,
netflix-ori-program_table_4.csv,Science fiction,"October 26, 2023",56–71 min,"1 season, 8 episodes",Pluto,Japanese,
netflix-ori-program_table_4.csv,Action-adventure,"November 2, 2023",22–36 min,"1 season, 8 episodes",Onimusha,Japanese,
netflix-ori-program_table_4.csv,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,
